study,brand,brand_variation,audience,category,sector,market,year,company,study_id,brand_id,brand_variation_key,audience_id,category_id,sector_id,market_id,year_id,study_period,additional_category,country_of_origin,differentiation_rank,relevance_rank,esteem_rank,knowledge_rank,differentiation_c,relevance_c,esteem_c,knowledge_c,relevance_brandscape_index,knowledge_brandscape_index,relevance_category_index,knowledge_category_index,mib_innovation_rank
"South Africa 2025",Mahindra,Mahindra,"All Adults",Automobiles,Auto,"South Africa",2025,"MAHINDRA & MAHINDRA LTD.",869,659,-24509,1,2,2,39,1769,"Full Year",0,IN,87.624750499002,31.936127744511,40.61876247505,66.26746506986,1.0485032165799,3.332556288664,0.60395407400058,4.7209562120279,,,,,74.523679912901
"South Africa 2025",Fiat,Fiat,"All Adults",Automobiles,Auto,"South Africa",2025,"Stellantis NV",869,382,8,1,2,2,39,1769,"Full Year",0,IT,85.329341317365,18.263473053892,24.950099800399,53.393213572854,1.0267977225014,3.054246628864,0.49169010386859,4.3502414150898,,,,,50.444565414625
"South Africa 2025","Range Rover","Range Rover","All Adults",Automobiles,Auto,"South Africa",2025,"Tata Motors Limited ADR",869,3743,7015,1,2,2,39,1769,"Full Year",0,US,99.600798403194,71.457085828343,97.305389221557,87.824351297405,1.5130583990516,4.1941439679428,1.5160677232858,5.2609037869692,,,,,96.416258392305
"South Africa 2025","Ford Ranger","Ford Ranger","All Adults",Automobiles,Auto,"South Africa",2025,"Ford Motor Company",869,4350,642,1,2,2,39,1769,"Full Year",0,,91.816367265469,68.862275449102,93.313373253493,76.746506986028,1.0955853692289,4.1272990502777,1.2773927824317,5.0274989227281,,,,,88.014879332244
"South Africa 2025","Toyota Hilux","Toyota Hilux","All Adults",Automobiles,Auto,"South Africa",2025,"Toyota Motor Corporation",869,4359,9123,1,2,2,39,1769,"Full Year",0,,97.305389221557,78.74251497006,99.101796407186,88.023952095808,1.3085515478898,4.4029233512496,1.7849332748754,5.2660197916577,,,,,96.189439303211
"South Africa 2025","Ford Mustang","Ford Mustang","All Adults",Automobiles,Auto,"South Africa",2025,-,869,10774,570,1,2,2,39,1769,"Full Year",0,,98.702594810379,44.411177644711,86.826347305389,60.079840319361,1.3720973962497,3.5744435531873,1.0862318840724,4.5617240933883,,,,,87.270912720014
"South Africa 2025",Foton,Foton,"All Adults",Automobiles,Auto,"South Africa",2025,-,869,15103,46219,1,2,2,39,1769,"Full Year",0,,49.600798403194,4.4910179640719,2.6946107784431,6.5868263473054,0.86799753060518,2.6744094163263,0.27476131591122,1.9738564563762,,,,,47.332607512248
"South Africa 2025",Suzuki,Suzuki,"All Adults",Automobiles,Auto,"South Africa",2025,"Suzuki Motocicletas",869,15496,24,1,2,2,39,1769,"Full Year",0,JP,84.331337325349,54.890219560878,57.784431137725,77.944111776447,1.0214583262341,3.7473155793225,0.73562272018905,5.0502464273362,,,,,80.348394120849
"South Africa 2025","Toyota Fortuner","Toyota Fortuner","All Adults",Automobiles,Auto,"South Africa",2025,-,869,21092,-31594,1,2,2,39,1769,"Full Year",0,,94.411177644711,63.373253493014,96.906187624751,72.854291417166,1.1440094867097,3.9513609890413,1.4761422927913,4.9277946918981,,,,,83.68717111232
"South Africa 2025","Toyota Prado","Toyota Prado","All Adults",Automobiles,Auto,"South Africa",2025,-,869,60209,11102,1,2,2,39,1769,"Full Year",0,,83.333333333333,26.746506986028,75.64870259481,44.311377245509,1.0140488888358,3.2337258868155,0.91561938264764,4.0499517511039,,,,,72.954091816366
